count,timStamp,frameID,detObjNum,UnAmbvelocityMax,xpos,ypos,zpos,radVelAbs,range,speed,azimuthAng,eleAng,snrdB,rcsDb,powerDb,assoTrkID,objSameRV,objQuality,ObjTrackFlag,EleConfident,PredictDetflag,BumperGhostFlag,DetValid,ObjDelBeforeCat,DOAMethod,RangeIdx,DopplerIDx,PeakVal,SinAzimSNRLin,VelAmbFac,eDetAmbigState,eDetMotionPat,DetConf,InterFrameFlag,AssoTrkNum,ChanlPhaseMax,RverDirFlag,RoadObjDel,ObjNearbySta,ForFreeSpace,ForHoleRecognize,
1,1615157698,40390,255,46.22043,5.8615,0.196058,-0.07417,-0.07417,-0.00168,2.244728,-0.0019,-12.229,37.98422,-34.697,55.14308,127,0,4,0,1,0,0,0,0,1,5,8,14970,3697,-1,1,2,0,0,0,0,0,0,0,0,0,0
1,1615157698,40390,255,46.22043,2.814157,-0.47379,0.173602,0.173602,-0.00243,2.244728,-0.0019,-5.80818,33.50337,-37.1205,50.66224,127,2,3,0,1,0,0,0,0,1,5,8,14970,3697,-1,1,2,0,0,0,0,0,0,0,0,0,0
