count,timeStamp,frameID,trackNum,objID,objXPos,objXPosStd,objYPos,objYPosStd,objXVelAbs,objXVelAbsStd,objYVelAbs,objYVelAbsStd,objXAccAbs,objXAccAbsStd,objYAccAbs,objYAccAbsStd,objXVelRel,objYVelRel,objBoxCenterLgt,objBoxCenterLat,objBoxLength,objBoxWidth,f32ObjBoxHeight,headingAngle,rcsdB,observHist,confidence,lifeCycle,objCoastCnt,objTrackSatus,objElevnSt,objElevnConf,objMotionPat,eObjMotionDirect,objTyp,objTypConf,objMirrPro,objNotRealPro,objinFreeSpace,dbcTrkFlag,refPointIdx,eMotionSubclass,objObstcPro,dbcTrkMessID,dbcTrkUpdateFlag,bojTrkValidOut
1,1615157698,40390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1621647573,40391,17,7,129.549957,3,24.714985,3,11.549921,3,0,3,0,1,0,1,11.57149,-0.116354,-3.776489,0,7.552994,2,3.747998,0,3.08432,1,40,2,0,2,2,99,3,2,0,0,0,0,1,0,4,1,80,255,0,0
3,1621647573,40391,17,0,89.84095,0.5,5.196582,0.5,0,0.5,0,0.5,0,0.3,0,0.3,0.004535,-0.078448,-0.050003,0,0.1,0.1,0.2,0,-8.149879,1,40,2,0,2,3,20,1,0,0,0,0,0,1,0,5,0,46,255,0,0
