x,y,z,range,azimuth,elevation,RCS,SNR,ambgt,exist_prob,multi_tgt_prob,ambgt_prob,raw_doppler,idx
42.520952,-0.166099,-0.161191,42.521583,-0.003906,-0.003791,63.77,13.36,48.668,100,100,100,12.357,128
42.456379,-0.165846,2.348049,42.521583,-0.003906,0.055248,63.77,13.36,48.668,100,100,100,12.357,128
42.487857,1.685511,-0.161191,42.521583,0.039650,-0.003791,63.77,13.36,48.668,100,100,100,12.357,128
42.423334,1.682951,2.348049,42.521583,0.039650,0.055248,63.77,13.36,48.668,100,100,100,12.357,128
42.510561,-0.166058,0.953829,42.521583,-0.003906,0.022434,63.77,13.36,48.668,100,100,100,19.961,128
42.245981,-0.165025,4.830623,42.521583,-0.003906,0.113850,63.77,13.36,48.668,100,100,100,19.961,128
42.468291,1.902534,0.953829,42.521583,0.044769,0.022434,63.77,13.36,48.668,100,100,100,19.961,128
42.203974,1.890693,4.830623,42.521583,0.044769,0.113850,63.77,13.36,48.668,100,100,100,19.961,128
